date,vth_shift_mv
2021-08-29,11.651
2021-08-30,12.455
2021-08-31,11.78
2021-09-01,11.544
2021-09-02,11.625
2021-09-03,12.142
2021-09-04,11.383
2021-09-05,12.615
2021-09-06,11.778
2021-09-07,11.929
2021-09-08,12.798
2021-09-09,12.715
2021-09-10,11.428
2021-09-11,11.336
2021-09-12,11.49
2021-09-13,11.721
2021-09-14,12.206
2021-09-15,11.212
2021-09-16,11.594
2021-09-17,10.928
2021-09-18,12.261
2021-09-19,12.146
2021-09-20,10.355
2021-09-21,11.593
2021-09-22,11.351
2021-09-23,11.534
2021-09-24,11.56
2021-09-25,11.402
2021-09-26,11.634
2021-09-27,11.27
2021-09-28,12.014
2021-09-29,11.858
2021-09-30,10.128
2021-10-01,11.806
2021-10-02,11.33
2021-10-03,10.668
2021-10-04,11.052
2021-10-05,11.412
2021-10-06,11.774
2021-10-07,11.805
2021-10-08,10.97
2021-10-09,11.056
2021-10-10,11.707
2021-10-11,11.163
2021-10-12,10.902
2021-10-13,10.026
2021-10-14,11.347
2021-10-15,11.205
2021-10-16,10.818
2021-10-17,10.985
2021-10-18,10.181
2021-10-19,11.206
2021-10-20,11.635
2021-10-21,11.47
2021-10-22,10.449
2021-10-23,10.52
2021-10-24,10.59
2021-10-25,10.626
2021-10-26,11.077
2021-10-27,11.262
2021-10-28,10.402
2021-10-29,10.535
2021-10-30,10.146
2021-10-31,11.952
2021-11-01,10.156
2021-11-02,11.41
2021-11-03,10.853
2021-11-04,10.889
2021-11-05,10.935
2021-11-06,10.283
2021-11-07,11.129
2021-11-08,9.86
2021-11-09,10.452
2021-11-10,11.215
2021-11-11,10.705
2021-11-12,9.949
2021-11-13,10.201
2021-11-14,10.225
2021-11-15,11.418
2021-11-16,10.512
2021-11-17,10.524
2021-11-18,10.828
2021-11-19,11.058
2021-11-20,10.443
2021-11-21,10.574
2021-11-22,9.944
2021-11-23,10.474
2021-11-24,9.498
2021-11-25,10.636
2021-11-26,10.788
2021-11-27,9.907
2021-11-28,10.111
2021-11-29,10.057
2021-11-30,9.593
2021-12-01,10.841
2021-12-02,9.957
2021-12-03,9.64
2021-12-04,10.097
2021-12-05,10.664
2021-12-06,10.01
2021-12-07,10.5
2021-12-08,10.269
2021-12-09,10.263
2021-12-10,10.366
2021-12-11,10.928
2021-12-12,10.937
2021-12-13,10.751
2021-12-14,10.384
2021-12-15,10.084
2021-12-16,9.884
2021-12-17,11.268
2021-12-18,10.818
2021-12-19,10.231
2021-12-20,10.555
2021-12-21,10.484
2021-12-22,11.102
2021-12-23,11.061
2021-12-24,9.201
2021-12-25,10.858
2021-12-26,10.168
2021-12-27,10.331
2021-12-28,9.778
2021-12-29,10.049
2021-12-30,10.122
2021-12-31,10.632
2022-01-01,9.945
2022-01-02,9.498
2022-01-03,10.284
2022-01-04,10.126
2022-01-05,10.103
2022-01-06,10.528
2022-01-07,9.555
2022-01-08,9.408
2022-01-09,10.46
2022-01-10,10.617
2022-01-11,10.885
2022-01-12,10.542
2022-01-13,11.087
2022-01-14,10.143
2022-01-15,11.306
2022-01-16,11.284
2022-01-17,10.619
2022-01-18,10.465
2022-01-19,10.129
2022-01-20,10.64
2022-01-21,10.24
2022-01-22,10.753
2022-01-23,11.2
2022-01-24,10.915
2022-01-25,9.859
2022-01-26,9.916
2022-01-27,11.287
2022-01-28,10.941
2022-01-29,11.367
2022-01-30,11.852
2022-01-31,10.709
2022-02-01,10.776
2022-02-02,10.266
2022-02-03,11.223
2022-02-04,10.06
2022-02-05,10.533
2022-02-06,10.365
2022-02-07,9.924
2022-02-08,10.443
2022-02-09,11.269
2022-02-10,11.546
2022-02-11,11.457
2022-02-12,10.899
2022-02-13,11.419
2022-02-14,10.901
2022-02-15,11.448
2022-02-16,10.754
2022-02-17,10.616
2022-02-18,10.96
2022-02-19,11.57
2022-02-20,12.043
2022-02-21,11.577
2022-02-22,10.004
2022-02-23,11.397
2022-02-24,11.002
2022-02-25,11.01
2022-02-26,11.311
2022-02-27,11.24
2022-02-28,11.698
2022-03-01,11.711
2022-03-02,11.249
2022-03-03,11.129
2022-03-04,12.292
2022-03-05,11.538
2022-03-06,10.834
2022-03-07,11.845
2022-03-08,12.556
2022-03-09,12.152
2022-03-10,12.57
2022-03-11,11.371
2022-03-12,11.69
2022-03-13,12.917
2022-03-14,11.525
2022-03-15,10.872
2022-03-16,12.52
2022-03-17,11.49
2022-03-18,12.812
2022-03-19,12.571
2022-03-20,11.307
2022-03-21,11.093
2022-03-22,12.159
2022-03-23,11.518
2022-03-24,12.223
2022-03-25,12.733
2022-03-26,11.764
2022-03-27,12.515
2022-03-28,12.605
2022-03-29,11.801
2022-03-30,12.319
2022-03-31,12.063
2022-04-01,12.427
2022-04-02,12.641
2022-04-03,12.159
2022-04-04,12.689
2022-04-05,12.421
2022-04-06,12.747
2022-04-07,12.473
2022-04-08,12.28
2022-04-09,11.518
2022-04-10,11.812
2022-04-11,11.495
2022-04-12,13.971
2022-04-13,12.827
2022-04-14,12.239
2022-04-15,12.323
2022-04-16,13.064
2022-04-17,12.597
2022-04-18,12.701
2022-04-19,13.411
2022-04-20,12.56
2022-04-21,12.735
2022-04-22,12.745
2022-04-23,13.552
2022-04-24,13.515
2022-04-25,12.962
2022-04-26,13.47
2022-04-27,12.716
2022-04-28,13.186
2022-04-29,13.237
2022-04-30,13.418
2022-05-01,11.648
2022-05-02,13.125
2022-05-03,12.727
2022-05-04,13.254
2022-05-05,13.287
2022-05-06,13.869
2022-05-07,13.603
2022-05-08,13.629
2022-05-09,13.488
2022-05-10,14.223
2022-05-11,13.069
2022-05-12,13.574
2022-05-13,12.929
2022-05-14,14.269
2022-05-15,13.001
2022-05-16,14.149
2022-05-17,12.331
2022-05-18,14.062
2022-05-19,12.797
2022-05-20,13.732
2022-05-21,13.997
2022-05-22,13.588
2022-05-23,13.16
2022-05-24,12.689
2022-05-25,13.327
2022-05-26,13.327
2022-05-27,14.266
2022-05-28,13.493
2022-05-29,13.616
2022-05-30,13.37
2022-05-31,13.449
2022-06-01,13.937
2022-06-02,14.388
2022-06-03,13.654
2022-06-04,13.316
2022-06-05,13.288
2022-06-06,13.435
2022-06-07,14.312
2022-06-08,14.497
2022-06-09,13.067
2022-06-10,13.687
2022-06-11,13.298
2022-06-12,13.713
2022-06-13,13.889
2022-06-14,14.63
2022-06-15,14.541
2022-06-16,13.658
2022-06-17,14.086
2022-06-18,13.324
2022-06-19,14.489
2022-06-20,14.211
2022-06-21,14.133
2022-06-22,14.168
2022-06-23,14.239
2022-06-24,14.065
2022-06-25,14.348
2022-06-26,14.624
2022-06-27,14.356
2022-06-28,14.066
2022-06-29,14.004
2022-06-30,14.503
2022-07-01,13.909
2022-07-02,14.117
2022-07-03,14.39
2022-07-04,14.428
2022-07-05,15.362
2022-07-06,13.81
2022-07-07,13.289
2022-07-08,14.108
2022-07-09,14.571
2022-07-10,14.835
2022-07-11,14.629
2022-07-12,13.789
2022-07-13,14.602
2022-07-14,14.014
2022-07-15,14.495
2022-07-16,14.354
2022-07-17,13.224
2022-07-18,13.538
2022-07-19,14.027
2022-07-20,14.271
2022-07-21,13.848
2022-07-22,14.011
2022-07-23,14.292
2022-07-24,14.256
2022-07-25,14.75
2022-07-26,13.8
2022-07-27,13.912
2022-07-28,13.836
2022-07-29,14.27
2022-07-30,13.59
2022-07-31,13.197
2022-08-01,13.875
2022-08-02,13.531
2022-08-03,14.284
2022-08-04,14.529
2022-08-05,13.132
2022-08-06,14.203
2022-08-07,14.148
2022-08-08,14.75
2022-08-09,14.464
2022-08-10,13.153
2022-08-11,14.58
2022-08-12,14.755
2022-08-13,13.646
2022-08-14,14.91
2022-08-15,13.437
2022-08-16,13.934
2022-08-17,13.467
2022-08-18,14.791
2022-08-19,14.466
2022-08-20,14.358
2022-08-21,13.841
2022-08-22,13.853
2022-08-23,14.276
2022-08-24,13.829
2022-08-25,14.034
2022-08-26,14.179
2022-08-27,13.686
2022-08-28,13.992
2022-08-29,13.734
2022-08-30,13.114
2022-08-31,14.705
2022-09-01,13.67
2022-09-02,13.628
2022-09-03,13.441
2022-09-04,13.21
2022-09-05,13.277
2022-09-06,14.284
2022-09-07,13.957
2022-09-08,13.637
2022-09-09,14.127
2022-09-10,13.582
2022-09-11,13.459
2022-09-12,13.71
2022-09-13,13.81
2022-09-14,13.073
2022-09-15,13.043
2022-09-16,13.737
2022-09-17,14.253
2022-09-18,13.411
2022-09-19,12.721
2022-09-20,13.681
2022-09-21,13.223
2022-09-22,13.188
2022-09-23,12.301
2022-09-24,14.173
2022-09-25,13.41
2022-09-26,12.515
2022-09-27,12.054
2022-09-28,13.764
2022-09-29,12.678
2022-09-30,12.459
2022-10-01,12.263
2022-10-02,12.552
2022-10-03,13.086
2022-10-04,13.236
2022-10-05,13.194
2022-10-06,13.127
2022-10-07,12.706
2022-10-08,13.011
2022-10-09,12.639
2022-10-10,13.644
2022-10-11,12.536
2022-10-12,13.069
2022-10-13,12.087
2022-10-14,13.181
2022-10-15,12.788
2022-10-16,12.891
2022-10-17,12.983
2022-10-18,12.802
2022-10-19,12.862
2022-10-20,12.9
2022-10-21,12.242
2022-10-22,12.781
2022-10-23,12.621
2022-10-24,11.93
2022-10-25,13.342
2022-10-26,12.512
2022-10-27,12.628
2022-10-28,12.306
2022-10-29,12.522
2022-10-30,12.625
2022-10-31,12.553
2022-11-01,12.779
2022-11-02,11.418
2022-11-03,13.313
2022-11-04,12.862
2022-11-05,12.327
2022-11-06,12.167
2022-11-07,11.884
2022-11-08,11.484
2022-11-09,12.551
2022-11-10,12.993
2022-11-11,11.887
2022-11-12,12.372
2022-11-13,10.694
2022-11-14,11.733
2022-11-15,12.092
2022-11-16,11.628
2022-11-17,12.527
2022-11-18,12.079
2022-11-19,11.337
2022-11-20,12.773
2022-11-21,11.165
2022-11-22,12.726
2022-11-23,12.534
2022-11-24,12.38
2022-11-25,12.754
2022-11-26,11.368
2022-11-27,11.847
2022-11-28,12.307
2022-11-29,12.123
2022-11-30,12.777
2022-12-01,12.275
2022-12-02,11.527
2022-12-03,11.36
2022-12-04,12.283
2022-12-05,11.484
2022-12-06,11.865
2022-12-07,11.316
2022-12-08,12.211
2022-12-09,12.132
2022-12-10,11.027
2022-12-11,11.531
2022-12-12,11.677
2022-12-13,11.687
2022-12-14,11.707
2022-12-15,11.72
2022-12-16,11.32
2022-12-17,12.027
2022-12-18,11.387
2022-12-19,10.732
2022-12-20,11.48
2022-12-21,11.828
2022-12-22,12.157
2022-12-23,11.14
2022-12-24,11.901
2022-12-25,11.611
2022-12-26,12.539
2022-12-27,11.716
2022-12-28,11.899
2022-12-29,12.672
2022-12-30,11.327
2022-12-31,10.234
2023-01-01,10.607
2023-01-02,10.857
2023-01-03,11.426
2023-01-04,11.099
2023-01-05,12.316
2023-01-06,11.81
2023-01-07,11.877
2023-01-08,11.846
2023-01-09,11.021
2023-01-10,13.262
2023-01-11,12.463
2023-01-12,12.459
2023-01-13,11.8
2023-01-14,11.367
2023-01-15,11.343
2023-01-16,12.714
2023-01-17,12.448
2023-01-18,12.009
2023-01-19,11.509
2023-01-20,12.088
2023-01-21,12.178
2023-01-22,11.548
2023-01-23,11.668
2023-01-24,11.696
2023-01-25,11.709
2023-01-26,11.26
2023-01-27,11.352
2023-01-28,12.95
2023-01-29,12.595
2023-01-30,12.12
2023-01-31,11.886
2023-02-01,11.739
2023-02-02,11.412
2023-02-03,12.273
2023-02-04,11.642
2023-02-05,12.548
2023-02-06,11.234
2023-02-07,12.175
2023-02-08,12.047
2023-02-09,11.77
2023-02-10,12.334
2023-02-11,12.358
2023-02-12,13.672
2023-02-13,12.117
2023-02-14,13.058
2023-02-15,12.135
2023-02-16,12.291
2023-02-17,12.471
2023-02-18,12.504
2023-02-19,12.09
2023-02-20,12.459
2023-02-21,12.403
2023-02-22,13.815
2023-02-23,12.434
2023-02-24,12.195
2023-02-25,12.716
2023-02-26,13.632
2023-02-27,12.465
2023-02-28,12.767
2023-03-01,12.017
2023-03-02,13.151
2023-03-03,13.142
2023-03-04,13.39
2023-03-05,13.12
2023-03-06,13.537
2023-03-07,13.495
2023-03-08,12.685
2023-03-09,13.126
2023-03-10,12.578
2023-03-11,14.257
2023-03-12,12.649
2023-03-13,12.641
2023-03-14,13.08
2023-03-15,13.708
2023-03-16,12.545
2023-03-17,12.76
2023-03-18,12.803
2023-03-19,14.027
2023-03-20,13.28
2023-03-21,13.267
2023-03-22,13.145
2023-03-23,14.525
2023-03-24,12.863
2023-03-25,13.885
2023-03-26,13.819
2023-03-27,13.002
2023-03-28,13.789
2023-03-29,13.929
2023-03-30,13.134
2023-03-31,14.092
2023-04-01,13.343
2023-04-02,12.942
2023-04-03,13.405
2023-04-04,13.864
2023-04-05,13.158
2023-04-06,13.893
2023-04-07,13.907
2023-04-08,13.264
2023-04-09,13.698
2023-04-10,13.444
2023-04-11,13.605
2023-04-12,13.863
2023-04-13,14.002
2023-04-14,13.699
2023-04-15,13.68
2023-04-16,14.15
2023-04-17,13.286
2023-04-18,14.029
2023-04-19,14.262
2023-04-20,14.371
2023-04-21,14.005
2023-04-22,14.675
2023-04-23,14.315
2023-04-24,14.529
2023-04-25,13.541
2023-04-26,13.585
2023-04-27,13.45
2023-04-28,13.891
2023-04-29,14.087
2023-04-30,13.541
2023-05-01,14.347
2023-05-02,14.351
2023-05-03,13.849
2023-05-04,13.988
2023-05-05,14.564
2023-05-06,14.607
2023-05-07,14.742
2023-05-08,14.722
2023-05-09,13.945
2023-05-10,14.679
2023-05-11,14.061
2023-05-12,14.794
2023-05-13,14.888
2023-05-14,15.247
2023-05-15,14.359
2023-05-16,14.103
2023-05-17,14.289
2023-05-18,14.82
2023-05-19,14.59
2023-05-20,15.375
2023-05-21,14.124
2023-05-22,14.646
2023-05-23,14.36
2023-05-24,14.785
2023-05-25,14.896
2023-05-26,14.802
2023-05-27,14.94
2023-05-28,15.167
2023-05-29,15.54
2023-05-30,15.191
2023-05-31,14.466
2023-06-01,14.858
2023-06-02,15.389
2023-06-03,14.932
2023-06-04,15.684
2023-06-05,15.194
2023-06-06,15.191
2023-06-07,15.713
2023-06-08,14.3
2023-06-09,15.682
2023-06-10,15.783
2023-06-11,14.977
2023-06-12,15.077
2023-06-13,15.267
2023-06-14,15.461
2023-06-15,14.944
2023-06-16,15.319
2023-06-17,15.428
2023-06-18,14.628
2023-06-19,14.859
2023-06-20,15.591
2023-06-21,14.698
2023-06-22,15.517
2023-06-23,14.808
2023-06-24,15.063
2023-06-25,14.74
2023-06-26,14.877
2023-06-27,15.18
2023-06-28,15.237
2023-06-29,14.933
2023-06-30,15.795
2023-07-01,15.399
2023-07-02,15.332
2023-07-03,14.878
2023-07-04,15.11
2023-07-05,15.908
2023-07-06,15.08
2023-07-07,15.562
2023-07-08,14.848
2023-07-09,15.557
2023-07-10,16.282
2023-07-11,16.128
2023-07-12,14.721
2023-07-13,15.666
2023-07-14,14.481
2023-07-15,15.192
2023-07-16,15.968
2023-07-17,15.395
2023-07-18,14.661
2023-07-19,15.985
2023-07-20,15.094
2023-07-21,15.385
2023-07-22,15.184
2023-07-23,15.464
2023-07-24,14.705
2023-07-25,15.714
2023-07-26,15.486
2023-07-27,14.536
2023-07-28,15.433
2023-07-29,14.704
2023-07-30,14.839
2023-07-31,15.489
2023-08-01,15.181
2023-08-02,14.772
2023-08-03,14.249
2023-08-04,15.422
2023-08-05,15.587
2023-08-06,15.048
2023-08-07,14.514
2023-08-08,15.827
2023-08-09,15.43
2023-08-10,16.141
2023-08-11,14.616
2023-08-12,14.417
2023-08-13,14.463
2023-08-14,15.564
2023-08-15,14.752
2023-08-16,14.333
2023-08-17,15.334
2023-08-18,15.679
2023-08-19,15.759
2023-08-20,15.231
2023-08-21,15.271
2023-08-22,15.176
2023-08-23,14.252
2023-08-24,14.508
2023-08-25,14.196
2023-08-26,14.8
2023-08-27,15.223
2023-08-28,14.343
2023-08-29,14.463
2023-08-30,15.192
2023-08-31,15.47
2023-09-01,15.128
2023-09-02,14.519
2023-09-03,14.964
2023-09-04,14.009
2023-09-05,15.783
2023-09-06,15.108
2023-09-07,13.348
2023-09-08,14.591
2023-09-09,14.949
2023-09-10,13.574
2023-09-11,14.444
2023-09-12,13.689
2023-09-13,14.541
2023-09-14,14.073
2023-09-15,14.492
2023-09-16,13.97
2023-09-17,14.209
2023-09-18,14.764
2023-09-19,13.981
2023-09-20,14.694
2023-09-21,14.818
2023-09-22,13.723
2023-09-23,13.71
2023-09-24,12.778
2023-09-25,14.469
2023-09-26,14.425
2023-09-27,13.499
2023-09-28,13.804
2023-09-29,14.137
2023-09-30,13.386
2023-10-01,14.711
2023-10-02,14.483
2023-10-03,13.683
2023-10-04,14.461
2023-10-05,13.965
2023-10-06,13.96
2023-10-07,14.777
2023-10-08,14.55
2023-10-09,14.428
2023-10-10,13.758
2023-10-11,13.98
2023-10-12,13.4
2023-10-13,14.233
2023-10-14,14.024
2023-10-15,13.654
2023-10-16,13.823
2023-10-17,13.536
2023-10-18,13.529
2023-10-19,13.868
2023-10-20,14.261
2023-10-21,13.796
2023-10-22,13.589
2023-10-23,13.978
2023-10-24,13.752
2023-10-25,13.749
2023-10-26,12.585
2023-10-27,13.505
2023-10-28,12.954
2023-10-29,13.612
2023-10-30,12.684
2023-10-31,13.902
2023-11-01,13.155
2023-11-02,12.752
2023-11-03,12.385
2023-11-04,13.008
2023-11-05,12.371
2023-11-06,12.981
2023-11-07,13.938
2023-11-08,13.457
2023-11-09,13.227
2023-11-10,12.741
2023-11-11,13.574
2023-11-12,12.953
2023-11-13,13.494
2023-11-14,13.438
2023-11-15,13.652
2023-11-16,12.622
2023-11-17,12.75
2023-11-18,13.516
2023-11-19,12.323
2023-11-20,13.54
2023-11-21,12.183
2023-11-22,13.35
2023-11-23,12.249
2023-11-24,12.756
2023-11-25,13.301
2023-11-26,12.894
2023-11-27,12.303
2023-11-28,13.378
2023-11-29,12.494
2023-11-30,13.265
2023-12-01,12.376
2023-12-02,14.073
2023-12-03,12.894
2023-12-04,13.234
2023-12-05,13.136
2023-12-06,12.445
2023-12-07,13.303
2023-12-08,12.71
2023-12-09,12.12
2023-12-10,13.408
2023-12-11,12.303
2023-12-12,13.428
2023-12-13,12.32
2023-12-14,12.855
2023-12-15,11.877
2023-12-16,12.612
2023-12-17,13.679
2023-12-18,12.561
2023-12-19,12.787
2023-12-20,13.136
2023-12-21,12.991
2023-12-22,13.541
2023-12-23,13.362
2023-12-24,12.527
2023-12-25,12.924
2023-12-26,11.418
2023-12-27,13.481
2023-12-28,13.26
2023-12-29,12.668
2023-12-30,12.816
2023-12-31,13.358
